Screen	name	Replicate	TSS_qPCR	qPCR_Date	TSS_Override	Notes	Astrios FlowFISH Fold Change	Cytoflex FlowFISH Fold Change	FlowFISH Date	Sort Date	Seq Date
ICOSLG-R16	ICOSLG	16	0.15	Assumed		VEE1					
ICOSLG-R17	ICOSLG	17	0.15	Assumed		VEE1					
ICOSLG-R18	ICOSLG	18	0.15	Assumed		VEE1					
ICOSLG-R19	ICOSLG	19	0.15	Assumed		VEE1					
ITGAL-R11	ITGAL	11	0.15	Assumed		VEE1					
ITGAL-R12	ITGAL	12	0.15	Assumed		VEE1					
PFKFB3-R16	PFKFB3	16	0.15	Assumed		VEE1					
PFKFB3-R17	PFKFB3	17	0.15	Assumed		VEE1					
PFKFB3-R18	PFKFB3	18	0.15	Assumed		VEE1					
PFKFB3-R19	PFKFB3	19	0.15	Assumed		VEE1					
PFKFB3-R20	PFKFB3	20	0.15	Assumed		VEE1					
PFKFB3-R21	PFKFB3	21	0.15	Assumed		VEE1					
PFKFB3-R22	PFKFB3	22	0.15	Assumed		VEE1					
PFKFB3-R23	PFKFB3	23	0.15	Assumed		VEE1					
PPIF-R15	PPIF	15	0.15	Assumed		PPIF miniscreen in THP1_4hLPS					
PRKAA1-R1	PRKAA1	1	0.15	Assumed		VEE1					
PRKAA1-R2	PRKAA1	2	0.15	Assumed		VEE1					
PRKAA1-R3	PRKAA1	3	0.15	Assumed		VEE1					
PRKCQ-R1	PRKCQ	1	0.15	Assumed		VEE1					
PRKCQ-R2	PRKCQ	2	0.15	Assumed		VEE1					
PRKCQ-R3	PRKCQ	3	0.15	Assumed		VEE1					
PRKCQ-R4	PRKCQ	4	0.15	Assumed		VEE1					
PTGER4-R7	PTGER4	7	0.15	Assumed		VEE1					
PTGER4-R8	PTGER4	8	0.15	Assumed		VEE1					
SEPHS2-R1	SEPHS2	1	0.15	Assumed		VEE1					
SEPHS2-R2	SEPHS2	2	0.15	Assumed		VEE1					
PPIF-R1	PPIF	1	0.15	Assumed							
PPIF-R2	PPIF	2	0.15	Assumed							
PPIF-R3	PPIF	3	0.15	Assumed							
PPIF-R4	PPIF	4	0.15	Assumed							
PPIF-R5	PPIF	5	0.15	Assumed							
PPIF-R6	PPIF	6	0.15	Assumed							
PPIF-R7	PPIF	7	0.15	Assumed							
PPIF-R8	PPIF	8	0.15	Assumed							
PPIF-R9	PPIF	9	0.15	Assumed							
PPIF-R10	PPIF	10	0.15	Assumed							
PPIF-R11	PPIF	11	0.15	Assumed							
PPIF-R12	PPIF	12	0.15	Assumed							
PPIF-R13	PPIF	13	0.15	Assumed							
PPIF-R14	PPIF	14	0.15	Assumed							
PTGER4-R1	PTGER4	1	0.15	Assumed							
PTGER4-R2	PTGER4	2	0.15	Assumed							
PFKFB3-R1	PFKFB3	1	0.15	Assumed							
ITGAL-R1	ITGAL	1	0.15	Assumed							
ITGAL-R2	ITGAL	2	0.15	Assumed							
ICOSLG-R5	ICOSLG	5	0.15	Assumed							
CD83-R8	CD83	8	0.15	Assumed							
CD83-R9	CD83	9	0.15	Assumed							
CD83-R10	CD83	10	0.15	Assumed							
ITGAL-R4	ITGAL	4	0.15	Assumed							
ITGAL-R3	ITGAL	3	0.15	Assumed							
PFKFB3-R24	PFKFB3	24	0.15	Assumed							
PFKFB3-R25	PFKFB3	25	0.15	Assumed							
ITGAL-R13	ITGAL	13	0.15	Assumed							
ITGAL-R14	ITGAL	14	0.15	Assumed							
ICOSLG-R20	ICOSLG	20	0.15	Assumed							
ICOSLG-R21	ICOSLG	21	0.15	Assumed							
PTGER4-R9	PTGER4	9	0.15	Assumed							
PTGER4-R10	PTGER4	10	0.15	Assumed							
PFKFB3-R26	PFKFB3	26	0.15	Assumed							
PFKFB3-R27	PFKFB3	27	0.15	Assumed							
ITGAL-R15	ITGAL	15	0.15	Assumed							
ITGAL-R16	ITGAL	16	0.15	Assumed							
ICOSLG-R22	ICOSLG	22	0.15	Assumed							
ICOSLG-R23	ICOSLG	23	0.15	Assumed							
ICOSLG-R24	ICOSLG	24	0.15	Assumed							
ICOSLG-R25	ICOSLG	25	0.15	Assumed							
ZMIZ1-R1	ZMIZ1	1	0.15	Assumed							
ZCCHC24-R1	ZCCHC24	1	0.15	Assumed							
ZMIZ1-2	ZMIZ1	2	0.15	Assumed							
ZCCHC24-2	ZCCHC24	2	0.15	Assumed							
CD83-26	CD83	26	0.15	Assumed							
CD83-27	CD83	27	0.15	Assumed							
ICOSLG-27	ICOSLG	27	0.15	Assumed							
ICOSLG-28	ICOSLG	28	0.15	Assumed							
ICOSLG-29	ICOSLG	29	0.15	Assumed							
ICOSLG-30	ICOSLG	30	0.15	Assumed							
ITGAL-18	ITGAL	18	0.15	Assumed							
ITGAL-19	ITGAL	19	0.15	Assumed							
ITGAL-20	ITGAL	20	0.15	Assumed							
PFKFB3-30	PFKFB3	30	0.15	Assumed							
PFKFB3-31	PFKFB3	31	0.15	Assumed							
PTGER4-11	PTGER4	11	0.15	Assumed							
PTGER4-12	PTGER4	12	0.15	Assumed							
SEPHS2-10	SEPHS2	10	0.6	Assumed							
SEPHS2-11	SEPHS2	11	0.6	Assumed							
SEPHS2-12	SEPHS2	12	0.6	Assumed							
SEPHS2-13	SEPHS2	13	0.6	Assumed							
SEPHS2-5	SEPHS2	5	0.6	Assumed							
SEPHS2-6	SEPHS2	6	0.6	Assumed							
SEPHS2-7	SEPHS2	7	0.6	Assumed							
SEPHS2-8	SEPHS2	8	0.6	Assumed							
SEPHS2-9	SEPHS2	9	0.6	Assumed							
ZMIZ1-3	ZMIZ1	3	0.15	Assumed							
ZCCH24-3	ZCCHC24	3	0.15	Assumed							
ZMIZ1-4	ZMIZ1	4	0.15	Assumed							
ZCCH24-4	ZCCHC24	4	0.15	Assumed							
IL2RA-1	IL2RA	1	0.15	Assumed		FBF_IL2RA					181228
IL2RA-2	IL2RA	2	0.15	Assumed		FBF_IL2RA					181228
PFKFB3-34	PFKFB3	34	0.15	Assumed		FBF_IL2RA					181228
IRF8-1	IRF8	1	0.15	Assumed							190208
IRF8-2	IRF8	2	0.15	Assumed							190208
IRF8-3	IRF8	3	0.15	Assumed							190208
IRF8-4	IRF8	4	0.15	Assumed							190208
ITGAL-21	ITGAL	21	0.15	Assumed							190208
PFKFB3-32	PFKFB3	32	0.15	Assumed							190208
PFKFB3-33	PFKFB3	33	0.15	Assumed							190208
PTGER4-13	PTGER4	13	0.15	Assumed							190208
PTGER4-14	PTGER4	14	0.15	Assumed							190208
GATA1-20	GATA1	20	0.15	Assumed		CoreU6U6					190323
GATA1-21	GATA1	21	0.15	Assumed		CoreU6U6					190323
GATA1-22	GATA1	22	0.15	Assumed		CoreU6H1					190323
GATA1-23	GATA1	23	0.15	Assumed		CoreU6H1					190323
GATA1cut-1	GATA1	1	0.5	Assumed							170717
GATA1cut-2	GATA1	2	0.5	Assumed							170717
MYCcut-1	MYC	1	0.5	Assumed							170717
MYCcut-2	MYC	2	0.5	Assumed							170717
MYC-R2	MYC	2	0.36	qPCR	128972630	e2 since no TSS					
MYC-R3	MYC	3	0.36	qPCR	128972630	e2 since no TSS					
PVT1-R1	PVT1	1	0.09	qPCR	129057958	e3					
PVT1-R2	PVT1	2	0.09	qPCR	129057958	e3					
CCDC26-R1	CCDC26	1	0.08	qPCR	130594366	e5 since no TSS					
CCDC26-R2	CCDC26	2	0.08	qPCR	130594366	e5 since no TSS					
BLK-1	BLK	1	0.15	Assumed							190523
BLK-2	BLK	2	0.15	Assumed							190523
CD40-1	CD40	1	0.15	Assumed							190523
CD40-2	CD40	2	0.15	Assumed							190523
ELMO1-1	ELMO1	1	0.15	Assumed							190523
ELMO1-2	ELMO1	2	0.15	Assumed							190523
ETS1-1	ETS1	1	0.15	Assumed							190523
ETS1-2	ETS1	2	0.15	Assumed							190523
ETS1-3	ETS1	3	0.15	Assumed							190523
ETS1-4	ETS1	4	0.15	Assumed							190523
IL6ST-10	IL6ST	10	0.15	Assumed							190523
IL6ST-9	IL6ST	9	0.15	Assumed							190523
SMUG1-R1	SMUG1	1	0.15	Assumed							
C3orf37-R1	C3orf37	1	0.15	Assumed							
SMUG1-R2	SMUG1	2	0.15	Assumed							
ACAD8-1	ACAD8	1	0.15	Assumed		GM12878-LCL2					190925
DCAF4-1	DCAF4	1	0.15	Assumed		GM12878-LCL2					190925
DGCR14-1	DGCR14	1	0.15	Assumed		GM12878-LCL2					190925
FLYWCH1-1	FLYWCH1	1	0.15	Assumed		GM12878-LCL2					190925
IKZF3-1	IKZF3	1	0.15	Assumed		GM12878-LCL2					190925
Il16-1	Il16	1	0.15	Assumed		GM12878-LCL2					190925
LZIC-1	LZIC	1	0.15	Assumed		GM12878-LCL2					190925
MGLL-1	MGLL	1	0.15	Assumed		GM12878-LCL2					190925
SLC7A7-1	SLC7A7	1	0.15	Assumed		GM12878-LCL2					190925
IL6ST-1	IL6ST	1	0.15	Assumed		IL6ST_for_paper					190323
IL6ST-2	IL6ST	2	0.15	Assumed		IL6ST_for_paper					190323
IL6ST-3	IL6ST	3	0.15	Assumed		IL6ST_for_paper					190323
IL6ST-4	IL6ST	4	0.15	Assumed		IL6ST_for_paper					190323
IL6ST-5	IL6ST	5	0.15	Assumed		IL6ST_for_paper					190323
IL6ST-6	IL6ST	6	0.15	Assumed		IL6ST_for_paper					190323
IL6ST-7	IL6ST	7	0.15	Assumed		IL6ST_for_paper					190323
IL6ST-8	IL6ST	8	0.15	Assumed		IL6ST_for_paper					190323
